Question,Answer A,Answer B,Answer C,Answer D,Correct,Value,Category
abandoné,left behind,encompassed,boarded,hugged,A,100,Spanish
abarqué,boarded,encompassed,left behind,was plentiful,B,100,Spanish
abordé,left behind,encompassed,boarded,hugged,C,100,Spanish
abracé,left behind,encompassed,boarded,hugged,D,100,Spanish
abrí,opened,encompassed,boarded,hugged,A,100,Spanish
absorbí,left behind,absorbed,boarded,hugged,B,100,Spanish
abundé,left behind,encompassed,was plentiful,hugged,C,100,Spanish
aburrí,left behind,encompassed,boarded,bored,D,100,Spanish
abusé,abused,encompassed,boarded,hugged,A,100,Spanish
acabé,left behind,finished,boarded,hugged,B,100,Spanish
